# Longitud de onda (micrones)	Flujo (W)
6.790789335032e-01	5.006194342826e-36
6.792262728299e-01	5.025947913418e-36
6.793736121566e-01	5.045701484010e-36
6.795209514833e-01	5.065455054602e-36
6.796682908100e-01	5.085208625193e-36
6.798156301367e-01	5.104962195785e-36
6.799629694634e-01	5.124715766377e-36
6.801103087901e-01	5.144469336968e-36
6.802576481168e-01	5.164222907560e-36
6.804049874435e-01	5.183976478152e-36
6.805523267702e-01	5.203730048743e-36
6.806996660969e-01	5.223483619335e-36
6.808470054236e-01	5.243237189927e-36
6.809943447503e-01	5.262990760518e-36
6.811416840770e-01	5.282744331110e-36
6.812890234037e-01	5.302497901702e-36
6.814363627304e-01	5.322251472293e-36
6.815837020571e-01	5.342005042885e-36
6.817310413838e-01	5.361758613477e-36
6.818783807105e-01	5.381512184068e-36
6.820257200372e-01	5.401265754660e-36
6.821730593639e-01	5.421019325252e-36
6.823203986906e-01	5.440772895844e-36
6.824677380173e-01	5.460526466435e-36
6.826150773440e-01	5.480280037027e-36
6.827624166707e-01	5.500033607619e-36
6.829097559974e-01	5.519787178210e-36
6.830570953241e-01	5.539540748802e-36
6.832044346508e-01	5.559294319394e-36
6.833517739775e-01	5.579047889985e-36
6.834991133042e-01	5.598801460577e-36
6.836464526309e-01	5.618555031169e-36
6.837937919576e-01	5.638308601760e-36
6.839411312843e-01	5.658062172352e-36
6.840884706110e-01	5.677815742944e-36
6.842358099377e-01	5.697569313535e-36
6.843831492644e-01	5.717322884127e-36
6.845304885911e-01	5.737076454719e-36
6.846778279178e-01	5.756830025311e-36
6.848251672445e-01	5.776583595902e-36
6.849725065712e-01	5.796337166494e-36
6.851198458979e-01	5.816090737086e-36
6.852671852246e-01	5.835844307677e-36
6.854145245513e-01	5.855597878269e-36
6.855618638780e-01	5.875351448861e-36
6.857092032047e-01	5.895105019452e-36
6.858565425314e-01	5.914858590044e-36
6.860038818581e-01	5.934612160636e-36
6.861512211848e-01	5.954365731228e-36
6.862985605115e-01	5.974119301819e-36
6.864458998382e-01	5.993872872411e-36
6.865932391649e-01	6.013626443003e-36
6.867405784916e-01	6.033380013594e-36
6.868879178183e-01	6.053133584186e-36
6.870352571450e-01	6.072887154778e-36
6.871825964717e-01	6.092640725369e-36
6.873299357984e-01	6.112394295961e-36
6.874772751251e-01	6.132147866553e-36
6.876246144518e-01	6.151901437144e-36
6.877719537785e-01	6.171655007736e-36
6.879192931052e-01	6.191408578328e-36
6.880666324319e-01	6.211162148919e-36
6.882139717586e-01	6.230915719511e-36
6.883613110853e-01	6.250669290103e-36
6.885086504120e-01	6.270422860695e-36
6.886559897387e-01	6.290176431286e-36
6.888033290654e-01	6.309930001878e-36
6.889506683921e-01	6.329683572470e-36
6.890980077188e-01	6.349437144503e-36
6.892453470455e-01	6.369216122868e-36
6.893926863722e-01	6.389980721787e-36
6.895400256989e-01	6.416995665239e-36
6.896873650256e-01	6.451618098451e-36
6.898347043523e-01	6.488051186637e-36
6.899820436790e-01	6.524558822029e-36
6.901293830057e-01	6.561066688127e-36
6.902767223324e-01	6.597574554225e-36
6.904240616591e-01	6.634082420323e-36
6.905714009858e-01	6.670590286421e-36
6.907187403125e-01	6.707098152519e-36
6.908660796392e-01	6.743606018617e-36
6.910134189659e-01	6.780113884715e-36
6.911607582926e-01	6.816621750813e-36
6.913080976193e-01	6.853129616911e-36
6.914554369460e-01	6.889637483009e-36
6.916027762727e-01	6.926145349107e-36
6.917501155994e-01	6.962653215205e-36
6.918974549261e-01	6.999161081303e-36
6.920447942528e-01	7.035668947401e-36
6.921921335795e-01	7.072176813499e-36
6.923394729062e-01	7.108684679597e-36
6.924868122329e-01	7.145192545695e-36
6.926341515596e-01	7.181700411793e-36
6.927814908863e-01	7.218208277891e-36
6.929288302130e-01	7.254716143989e-36
6.930761695397e-01	7.291224010087e-36
6.932235088664e-01	7.327731876185e-36
6.933708481931e-01	7.364239742283e-36
6.935181875198e-01	7.400747608381e-36
6.936655268465e-01	7.437255474479e-36
6.938128661732e-01	7.473763340577e-36
6.939602054999e-01	7.510271206675e-36
6.941075448266e-01	7.546779072773e-36
6.942548841533e-01	7.583286938871e-36
6.944022234800e-01	7.619794804969e-36
6.945495628067e-01	7.656302671067e-36
6.946969021334e-01	7.692810537165e-36
6.948442414601e-01	7.729318403263e-36
6.949915807868e-01	7.765826269361e-36
6.951389201135e-01	7.802334135459e-36
6.952862594402e-01	7.838842001557e-36
6.954335987669e-01	7.875349867655e-36
6.955809380936e-01	7.911857733753e-36
6.957282774203e-01	7.948365599851e-36
6.958756167470e-01	7.984873465949e-36
6.960229560737e-01	8.021381332047e-36
6.961702954004e-01	8.057889198145e-36
6.963176347271e-01	8.094397064243e-36
6.964649740538e-01	8.130904930341e-36
6.966123133805e-01	8.167412796439e-36
6.967596527072e-01	8.203920662536e-36
6.969069920339e-01	8.240428528635e-36
6.970543313606e-01	8.276936394733e-36
6.972016706873e-01	8.313444260831e-36
6.973490100140e-01	8.349952126929e-36
6.974963493407e-01	8.386459993026e-36
6.976436886675e-01	8.422967859125e-36
6.977910279942e-01	8.459475725222e-36
6.979383673209e-01	8.495983591321e-36
6.980857066476e-01	8.532491457419e-36
6.982330459743e-01	8.568999323516e-36
6.983803853010e-01	8.605507189615e-36
6.985277246277e-01	8.642015055712e-36
6.986750639544e-01	8.678522921811e-36
6.988224032811e-01	8.715030787908e-36
6.989697426078e-01	8.751538654006e-36
6.991170819345e-01	8.788046520104e-36
6.992644212612e-01	8.824554386202e-36
6.994117605879e-01	8.861062252301e-36
6.995590999146e-01	8.897570118398e-36
6.997064392413e-01	8.934077984496e-36
6.998537785680e-01	8.970585850594e-36
7.000011178947e-01	9.007093716692e-36
7.001484572214e-01	9.043601582790e-36
7.002957965481e-01	9.080109448888e-36
7.004431358748e-01	9.116617314986e-36
7.005904752015e-01	9.153125181084e-36
7.007378145282e-01	9.189633047182e-36
7.008851538549e-01	9.226140913280e-36
7.010324931816e-01	9.262648779378e-36
7.011798325083e-01	9.299156645476e-36
7.013271718350e-01	9.335664511574e-36
7.014745111617e-01	9.372172377672e-36
7.016218504884e-01	9.408680243770e-36
7.017691898151e-01	9.445188109868e-36
7.019165291418e-01	9.481695975966e-36
7.020638684685e-01	9.518203842064e-36
7.022112077952e-01	9.554711708162e-36
7.023585471219e-01	9.591219574260e-36
7.025058864486e-01	9.627727440358e-36
7.026532257753e-01	9.664235306456e-36
