# Longitud de onda (micrones)	Flujo (W)
6.270681511778896100e-01	1.065423764572627254e-36
6.272154905045901341e-01	1.070755553155664722e-36
6.273628298312906582e-01	1.076087341738750634e-36
6.275101691579911822e-01	1.081419130321836713e-36
6.276575084846917063e-01	1.086750918904875852e-36
6.278048478113922304e-01	1.092082707487963100e-36
6.279521871380928655e-01	1.097414496071000903e-36
6.280995264647933896e-01	1.102746284654084810e-36
6.282468657914939136e-01	1.108078073237170722e-36
6.283942051181944377e-01	1.113409861820213536e-36
6.285415444448949618e-01	1.118741650403294270e-36
6.286888837715954859e-01	1.124073438986379179e-36
6.288362230982960099e-01	1.129405227569420156e-36
6.289835624249967561e-01	1.134737016152505734e-36
6.291309017516972801e-01	1.140068804735561243e-36
6.292782410783978042e-01	1.145400593318632121e-36
6.294255804050983283e-01	1.150732381901716696e-36
6.295729197317988524e-01	1.156064170484753496e-36
6.297202590584993764e-01	1.161395959067839576e-36
6.298675983851999005e-01	1.166727747650922648e-36
6.300149377119005356e-01	1.172059536233960116e-36
6.301622770386010597e-01	1.177391324817043522e-36
6.303096163653015838e-01	1.182723113400125592e-36
6.304569556920021078e-01	1.188054901983164731e-36
6.306042950187026319e-01	1.193386690566245465e-36
6.307516343454031560e-01	1.198718479149329539e-36
6.308989736721036801e-01	1.204050267732364669e-36
6.310463129988042041e-01	1.209382056315450080e-36
6.311936523255047282e-01	1.214713844898534488e-36
6.313409916522053633e-01	1.220045633481572123e-36
6.314883309789058874e-01	1.225377422064653692e-36
6.316356703056064115e-01	1.230709210647736096e-36
6.317830096323069355e-01	1.236040999230772729e-36
6.319303489590074596e-01	1.241372787813854131e-36
6.320776882857079837e-01	1.246704576396938373e-36
6.322250276124087298e-01	1.252036364979977344e-36
6.323723669391092539e-01	1.257368153563061586e-36
6.325197062658097780e-01	1.262699942146142988e-36
6.326670455925103020e-01	1.268031730729196993e-36
6.328143849192108261e-01	1.273363519312262526e-36
6.329617242459113502e-01	1.278695307895341923e-36
6.331090635726118743e-01	1.284027096478424661e-36
6.332564028993123983e-01	1.289358885061460626e-36
6.334037422260130334e-01	1.294690673644542863e-36
6.335510815527135575e-01	1.300022462227625267e-36
6.336984208794140816e-01	1.305354250810660563e-36
6.338457602061146057e-01	1.310686039393741798e-36
6.339930995328151297e-01	1.316017827976821864e-36
6.341404388595156538e-01	1.321349616559904101e-36
6.342877781862161779e-01	1.326681405142936557e-36
6.344351175129167020e-01	1.332013193726020131e-36
6.345824568396173371e-01	1.337344982309100530e-36
6.347297961663178612e-01	1.342676770892135493e-36
6.348771354930183852e-01	1.348008559475213888e-36
6.350244748197189093e-01	1.353340348058293452e-36
6.351718141464194334e-01	1.358672136641375188e-36
6.353191534731199575e-01	1.364003925224408647e-36
6.354664927998207036e-01	1.369335713807492220e-36
6.356138321265212277e-01	1.374667502390573288e-36
6.357611714532217517e-01	1.379999290973657529e-36
6.359085107799222758e-01	1.385331079556688483e-36
6.360558501066227999e-01	1.390662868139767880e-36
6.362031894333233240e-01	1.395994656722845106e-36
6.363505287600238480e-01	1.401326445305928512e-36
6.364978680867243721e-01	1.406658233888960969e-36
6.366452074134248962e-01	1.411990022472040700e-36
6.367925467401255313e-01	1.417321811055118093e-36
6.369398860668260554e-01	1.422653599638199494e-36
6.370872253935265794e-01	1.427985388221233288e-36
6.372345647202271035e-01	1.433317176804312852e-36
6.373819040469276276e-01	1.438648965387386736e-36
6.375292433736281517e-01	1.443980753970469140e-36
6.376765827003286757e-01	1.449312542553499760e-36
6.378239220270291998e-01	1.454644331136578489e-36
6.379712613537298349e-01	1.459976119719656717e-36
6.381186006804303590e-01	1.465307908302735780e-36
6.382659400071308831e-01	1.470639696885767234e-36
6.384132793338314071e-01	1.475971485468847634e-36
6.385606186605320422e-01	1.481303274051926697e-36
6.387079579872325663e-01	1.486635062635006929e-36
6.388552973139332014e-01	1.491966851218087997e-36
6.390026366406337255e-01	1.497298639801117614e-36
6.391499759673342496e-01	1.502630428384193503e-36
6.392973152940347736e-01	1.507962216967271898e-36
6.394446546207352977e-01	1.513294005550351629e-36
6.395919939474358218e-01	1.518625794133389264e-36
6.397393332741363459e-01	1.523957582716459975e-36
6.398866726008368699e-01	1.529289371299535697e-36
6.400340119275375050e-01	1.534621159882615429e-36
6.401813512542380291e-01	1.539952948465692821e-36
6.403286905809385532e-01	1.545284737048720768e-36
6.404760299076390773e-01	1.550616525631799497e-36
6.406233692343396013e-01	1.555948314214873214e-36
6.407707085610401254e-01	1.561280102797954282e-36
6.409180478877406495e-01	1.566611891381025327e-36
6.410653872144411736e-01	1.571943679964106729e-36
6.412127265411418087e-01	1.577275468547132670e-36
6.413600658678423327e-01	1.582607257130208058e-36
6.415074051945428568e-01	1.587939045713288792e-36
